service,load,users,rps,p50,p95,p99,failures
python-soap,low,50,7.295035180856593,4300.0,7300.0,7800.0,0
python-soap,high,500,7.285912114706387,6600.0,12000.0,12000.0,0
go-rest,low,50,150.9399728229746,3.0,12.0,16.0,0
go-graphql,low,50,132.6923258606009,47.0,56.0,60.0,0
go-grpc,low,50,151.301738786134,2.0,27.0,43.0,0
go-soap,low,50,133.18901300896295,47.0,56.0,60.0,0
python-rest,low,50,148.73496378882265,5.0,19.0,32.0,0
python-graphql,low,50,131.22247173885577,50.0,62.0,89.0,0
python-grpc,low,50,152.1004373270241,5.0,12.0,42.0,0
go-rest,medium,200,579.1096445803292,6.0,20.0,38.0,0
go-graphql,medium,200,503.85024669406505,53.0,70.0,86.0,0
go-grpc,medium,200,563.7505345918082,7.0,69.0,100.0,0
go-soap,medium,200,499.07665091872764,54.0,86.0,130.0,0
python-rest,medium,200,543.379889168846,16.0,100.0,170.0,0
python-graphql,medium,200,491.9642107389722,59.0,120.0,170.0,0
python-grpc,medium,200,520.6395092329113,30.0,150.0,230.0,0
go-rest,high,500,728.312476503665,240.0,520.0,810.0,2544
go-graphql,high,500,683.8137600688665,280.0,460.0,720.0,0
go-grpc,high,500,772.3616364618335,340.0,620.0,820.0,2233
go-soap,high,500,682.0304132112902,280.0,480.0,860.0,0
python-rest,high,500,676.7021957011935,310.0,530.0,670.0,0
python-graphql,high,500,645.4446708757658,420.0,580.0,660.0,0
python-grpc,high,500,557.6603623436857,530.0,960.0,1100.0,0
